wavelength_nm,x_bar,y_bar,z_bar
390,0.004803042719805542,0.0006402665086693413,0.020805610066405345
391,0.005641965731708379,0.0007316217982760168,0.02449396368190132
392,0.006638025476061828,0.0008380400793573655,0.02888256538614194
393,0.007817888296166914,0.0009616996274080117,0.0340926770116941
394,0.009211568332629762,0.0011049857899895128,0.04026141125987466
395,0.010852500087207208,0.0012704806903093642,0.047542259405391404
396,0.012777509990693974,0.0014609437899887703,0.056105175741279545
397,0.01502665983942508,0.00167928148969097,0.06613610846112457
398,0.01764292406550577,0.0019285046275930226,0.07783579531441297
399,0.02067169150284353,0.0022116725839740115,0.09141768234534249
400,0.024160009130802428,0.0025318216212449644,0.10710480011056035
401,0.028155812545925463,0.0028919890519281503,0.1251261490994434
402,0.032707512223091866,0.003295575298238161,0.14571412935715278
403,0.03786241220751253,0.0037462044893925594,0.16909764563289997
404,0.04366497772422474,0.004247647831152154,0.19549417737622404
405,0.05015501188380162,0.004803832622700503,0.22510123716414712
406,0.057365150449757873,0.005418536692442398,0.25808619480444017
407,0.06531671546789465,0.0060941000352839865,0.29457345784495015
408,0.07401791903105297,0.006831685099374559,0.334634282923815
409,0.08346180564270286,0.007631305946441232,0.3782763882103014
410,0.09362412966105686,0.008491629975069411,0.42543430032992857
411,0.10446522001882054,0.00941045778436543,0.47597353034420603
412,0.11594252947030793,0.010387065877304893,0.5297319585154968
413,0.12800569702197379,0.01142122400778416,0.5865034568592091
414,0.1405952526477303,0.012512820034645268,0.6460339264809634
415,0.15364468133158893,0.013662003521088043,0.7080296378511374
416,0.16707636190733371,0.014868682648663414,0.7721426278175983
417,0.1807807084108845,0.016130167932099305,0.8378890437861688
418,0.19463084061899916,0.017442672084843597,0.9047067449655636
419,0.20849060408509967,0.018801989904831194,0.9719885110203538
420,0.2222176891827905,0.020203604468611424,1.039095715524406
421,0.23568327067665784,0.021643686767758605,1.1054465086304233
422,0.2488315721397974,0.023122341422651998,1.1707807757860635
423,0.2616440438943183,0.024641743825775022,1.2350038478364207
424,0.27412410012910343,0.026205404384927012,1.298119418634742
425,0.28629617536615226,0.027818214849481247,1.3602256428781798
426,0.2981818992775478,0.02948555943083079,1.4214087172392675
427,0.30972366292585524,0.031210171400163873,1.4813961726625662
428,0.32083829420314786,0.032994095541484136,1.5397994278649445
429,0.3314361335872209,0.03483934099565265,1.5962004985449703
430,0.34141989684910773,0.03674768621312424,1.6501462834071583
431,0.35070625766830127,0.03872032883873334,1.7012455099785404
432,0.35929786150411935,0.04075725552701862,1.749485233271565
433,0.36722599523884114,0.042857534893177826,1.794974977475467
434,0.37452884997146635,0.045019394835295816,1.8378472524936775
435,0.381251288290076,0.047240172180755866,1.8782563297718167
436,0.3874148529451266,0.04951653790597298,1.9162429465048643
437,0.39292121223137644,0.051845224083358406,1.9512986961670686
438,0.3976351779718486,0.0542223870577897,1.9827455391882127
439,0.4014164165997331,0.05664349449311445,2.0098805041477417
440,0.40412325498783513,0.059103485461867694,2.031994436446504
441,0.4056539521318227,0.06159832191530101,2.0485690435552093
442,0.4060620045758385,0.06412987699663444,2.059826258654552
443,0.4054520138447966,0.06670295071453414,2.066234894904914
444,0.4039412288430433,0.06932429332441961,2.0683287511456134
445,0.40165691416469407,0.07200285537589728,2.066695176899228
446,0.3987005180203336,0.07474774789975175,2.061796515943541
447,0.3950448463285926,0.07756075789127254,2.053455632721834
448,0.39063608202104,0.08044187372216371,2.0413610072313375
449,0.3854272392632628,0.08339125450334386,2.0252343172348155
450,0.3793785990034814,0.08640905263805428,2.004833080180796
451,0.3724907973303864,0.08949820347776447,1.9801272838373845
452,0.36489606743127256,0.09267437681406741,1.9517948155310731
453,0.35675104235289073,0.09595832398181009,1.920658879585104
454,0.3481993740045718,0.09937292063571816,1.8874897433865445
455,0.3393690641390634,0.1029430618423561,1.8529912730809925
456,0.33035818025118446,0.10669286663784093,1.8177117394796862
457,0.32119925712392716,0.1106366300908085,1.7818043103196528
458,0.31190753720414627,0.11478538670127027,1.745312379907375
459,0.30249612981706236,0.11914911247121086,1.7082605457161308
460,0.292977162663537,0.12373646596986686,1.6706576989316964
461,0.2833516393242013,0.1285528134711565,1.6324531075458004
462,0.27357718173737394,0.13359414393305824,1.593401694070925
463,0.2636042935267082,0.13885077422089956,1.5532238014682793
464,0.25338922980250056,0.14430858417585313,1.5116602692974241
465,0.24289548938699676,0.14994873431068637,1.4684817799938272
466,0.23210624746038916,0.15575060385617778,1.4235500765437261
467,0.22105585902245017,0.1617022244084886,1.3769731720234566
468,0.20979508090097038,0.16779321196871613,1.328935840704846
469,0.1983796634719946,0.1740124908931054,1.279645402745296
470,0.18686979159849312,0.1803487694889347,1.2293298046696761
471,0.17532956968205332,0.18679216595580247,1.1782455700018417
472,0.16382604353945446,0.19333827728304903,1.1266984654905332
473,0.1524249449120116,0.19998613481185284,1.0750036245709444
474,0.14118885345394816,0.2067376916111722,1.0234689868520903
475,0.13017593858172835,0.21359833387361907,0.9723898099469216
476,0.11944112251082242,0.22057545247517707,0.922049366880312
477,0.10904118808017062,0.22767320998885074,0.8727304416044559
478,0.0990269462645221,0.23489703348165714,0.8246882984496845
479,0.08944074760308857,0.24225520355504454,0.7781418998106203
480,0.08031647773361568,0.24975859351435062,0.7332731597438154
481,0.0716766229008659,0.2574188181216249,0.6902035296902275
482,0.0635254586763761,0.26524228369919356,0.6489345178883943
483,0.05586353062851503,0.2732338782634242,0.6094388302770013
484,0.048691489113417814,0.2813979901174197,0.5716854280754937
485,0.042010123130249495,0.2897380418385798,0.535639054671586
486,0.03582249490518176,0.29826408863380116,0.5012855236580304
487,0.03013741908897643,0.30701840464809715,0.46869511655373
488,0.024959483273673925,0.3160543496513767,0.4379272436519458
489,0.02028773706433245,0.3254286212106083,0.40900738962696803
490,0.016117054168395102,0.3352013906575173,0.3819330346049637
491,0.012439178162211642,0.34542411543461365,0.3566610769841998
492,0.009244826827964438,0.3560986551504048,0.33306676392454154
493,0.006527688115448778,0.36720935984292713,0.3110162048532529
494,0.0042848101191378775,0.37873403461696364,0.29038619189000825
495,0.0025162364227471297,0.3906431019065039,0.27106345449043245
496,0.0012211847423544658,0.40290809442560926,0.252944151284129
497,0.00038729052487392507,0.41553090124694786,0.23593371303644103
498,0.0000000000010091965641684142,0.42852045209657097,0.21994572975738946
499,0.00004568348561862973,0.44188412544301076,0.20490157363724298
500,0.0005114116565671083,0.4556276136934434,0.19073013779048759
501,0.0013886107262772297,0.46975045014452516,0.17736997139947847
502,0.0026848731437020394,0.48423130603993186,0.16477473847439675
503,0.004412385243704874,0.4990397846954996,0.1529041706277867
504,0.006583839844698177,0.514140643198169,0.14172124475750117
505,0.009212202054032446,0.5294939190496576,0.13119197694664886
506,0.012311381098836574,0.5450562846023957,0.1212929706590305
507,0.015897680492899698,0.560785293194726,0.11202954422811533
508,0.019985035272254106,0.5766368314613768,0.10340412887424019
509,0.02458407053769813,0.5925646013968675,0.09540914134276163
510,0.0297024558812947,0.6085207434843037,0.08802926180563254
511,0.035339275408631125,0.62445928313047,0.08123542912192531
512,0.041467632688913625,0.6403458382182916,0.07496701176568889
513,0.04805319981902261,0.6561508611928003,0.06916473300117161
514,0.05506014745293061,0.6718478290626647,0.06377832131036447
515,0.06245108436400867,0.6874137970604871,0.058764988873895516
516,0.07019512397551679,0.7028211454202171,0.05409161523984333
517,0.0782925205136835,0.7180101352268119,0.04974174520729254
518,0.08675123798087447,0.7329116639680479,0.045701928408359516
519,0.09557903883107596,0.7474553382766118,0.04195803597173511
520,0.10478323071941349,0.7615694644048377,0.038495428827342144
521,0.11436567044245456,0.7751964166566765,0.03529842153145768
522,0.12430934900532274,0.7883416006786099,0.032348798924701425
523,0.13459355613801638,0.8010307983938707,0.029628762066960954
524,0.14519907319876238,0.8132942467055486,0.02712166186977689
525,0.1561084592152293,0.8251656201478048,0.024811930089833834
526,0.1673053844423479,0.8366727109383751,0.022685376784436623
527,0.17877127074847154,0.8478106262971493,0.02072996403331332
528,0.19048624387287763,0.8585651521802963,0.018934333594311164
529,0.20242986743666241,0.8689211838635763,0.017287480560956088
530,0.21458132338402236,0.8788631139257913,0.015778816050159836
531,0.22692563264394436,0.8883829810809662,0.014397909089754952
532,0.23947346877250256,0.8975041195953064,0.013133793775135022
533,0.25224502893011863,0.9062606607059,0.011976249635032798
534,0.26526462738215717,0.9146907448731577,0.010916055879495002
535,0.27856093685453936,0.9228368040381631,0.009944889004224538
536,0.29215704798080305,0.9307284268924619,0.00905540526649204
537,0.30603690389009575,0.9383286345197768,0.00824158254903679
538,0.3201714171069879,0.945582771782846,0.007497884158577621
539,0.3345275530472834,0.9524346425565762,0.006819040076623481
540,0.3490676666682981,0.9588257852814723,0.006200049329071909
541,0.3637556450081149,0.9647055103621112,0.005636121968733463
542,0.37857818342811517,0.9700639837733531,0.005122553441667537
543,0.3935272642941201,0.9749000433945985,0.004654953868890624
544,0.4085935663874887,0.9792101652610261,0.004229290017874351
545,0.4237661969396615,0.9829884760092625,0.0038418627705727212
546,0.43903843472786597,0.9862406955622252,0.0034892864633154132
547,0.4544267816006154,0.9890250847939072,0.0031684703374154207
548,0.4699560982342181,0.9914110514401299,0.0028765884472785517
549,0.4856525404476927,0.9934627909428374,0.0026110529158111977
550,0.5015399843260218,0.9952332032721811,0.0023694833102094674
551,0.5176461642713749,0.996767791383049,0.002149773037012359
552,0.5340092276275439,0.9980922684007532,0.0019502046836812473
553,0.5506110406275389,0.9991275534077371,0.0017690292460352086
554,0.5674245717981327,0.9997904426253161,0.0016046272571750685
555,0.5844156762899365,0.9999978919139378,0.0014555090742333697
556,0.601546147972641,0.9996902139917264,0.0013202972196282715
557,0.6187875011026471,0.998899324236925,0.0011976944248953797
558,0.63611735042157,0.9976805048193598,0.0010865172041508646
559,0.6535170746989092,0.9960892585865181,0.0009856943725105437
560,0.6709719779321541,0.9941809941497771,0.0008942561939620249
561,0.688474970257181,0.9919965625914542,0.0008113282910156051
562,0.7060350406608681,0.9895195795214665,0.0007361295505428984
563,0.7236611449479942,0.986720199112053,0.0006679510695075475
564,0.741357698069376,0.9835695384145329,0.0006061468747351562
565,0.7591243949700681,0.9800397305478378,0.0005501281054466712
566,0.7769482784932954,0.9761102627534991,0.0004993581127501937
567,0.7947825641032775,0.9717862810646061,0.0004533463870873625
568,0.8125723642641186,0.9670792172098657,0.0004116469420841706
569,0.8302629754107591,0.9620004044150267,0.00037385497618766273
570,0.847799915220345,0.9565609218850011,0.0003396031605694176
571,0.8651312781962641,0.9507651918161053,0.0003085583445238899
572,0.8822124803326639,0.9445923322431434,0.00028041856391844975
573,0.898997097491131,0.938016182726582,0.00025491003946911045
574,0.9154345200837183,0.9310120032759788,0.00023178453916020947
575,0.9314701948155181,0.9235567577238393,0.00021081703736354013
576,0.9470660955524394,0.9156495484610252,0.0001918035938818383
577,0.962263727718952,0.9073706743097828,0.0001745593246150253
578,0.9771274228963848,0.8988171091480116,0.0001589168114437061
579,0.9917242244552761,0.890081476078438,0.00014472447675596386
580,1.006124352653087,0.8812521723230777,0.00013184513485974515
581,1.020360387194419,0.8723875807631438,0.000120154627243683
582,1.0343000996209173,0.8634396342007146,0.00010954058658130287
583,1.0477692811600259,0.8543360987545212,0.00009990138026125952
584,1.06059195383926,0.8450070996075865,0.00009114504949867841
585,1.072590201120023,0.8353850007070783,0.00008318843839817013
586,1.0836196803611542,0.8254182687610875,0.00007595633427551574
587,1.0936683059241736,0.8151117077886322,0.00006938071006597102
588,1.102756416520813,0.8044846384519315,0.00006340001867914206
589,1.1109036265854324,0.7935571447492574,0.000057958642542292386
590,1.1181284929537894,0.7823499916107883,0.000053006252612403435
591,1.1244372916453358,0.7708830711284526,0.000048497343307658994
592,1.129791650434642,0.759170886301689,0.00004439074363642382
593,1.134146346219867,0.7472267254394238,0.00004064920692005502
594,1.1374605913005582,0.735063969539984,0.000037239039281374866
595,1.139699472929577,0.722696217630825,0.00003412975052595627
596,1.1408389958629646,0.7101380356756666,0.000031293743985021065
597,1.140884447080619,0.6974073094371083,0.00002870602937364367
598,1.1398495180509274,0.684523196117054,0.00002634397773195207
599,1.1377508928349744,0.6715051701265513,0.000024187094423164404
600,1.1346082364065626,0.658373025777251,0.000022216809538183205
601,1.1304322110922176,0.6451437260131019,0.00002041629681950992
602,1.125193405466035,0.6318221673718175,0.000018770293305334472
603,1.1188580754282302,0.6184109838569651,0.000017264959550694475
604,1.1114003161473025,0.6049135325636094,0.000015887741271042434
605,1.1028016142110462,0.5913340633849888,0.000014627242941101675
606,1.0930611146730986,0.5776808753783568,0.000013473121883195234
607,1.0822232795764588,0.5639760439585075,0.000012415978734106048
608,1.0703451188732844,0.5502443697614327,0.000011447275177320618
609,1.057486370946536,0.5365098577561178,0.00001055925392747797
610,1.0437076242851877,0.5227956063924989,0.000009744859257904853
611,1.029067174026816,0.5091220239768368,0.000008997676396060053
612,1.0136091533427602,0.4955019250250462,0.000008311868331542794
613,0.9973757426828325,0.48194620414812417,0.000007682123720187
614,0.9804105002384609,0.4684655616739305,0.00000710360763443307
615,0.9627588872581486,0.455070524502307,0.000006571916255488036
616,0.9444730975896248,0.44177375652039447,0.00000443100048263586
617,0.9256322788262027,0.42859692428522217,0.00000410328362990477
618,0.9063179590263237,0.41556238488598557,0.0000038016356744013634
619,0.8866085066927015,0.40269059229450777,0.0000035238455712950168
620,0.866578682379851,0.3900001558798426,0.0000032678967666270657
621,0.8462809893368269,0.37750163755971855,0.0000030319498038853253
622,0.8256941388375556,0.36518004582146163,0.0000028143265405898094
623,0.8047862917283775,0.3530163619983408,0.0000026134958132507527
624,0.7835343627056844,0.34099403767183706,0.0000024280604229468387
625,0.7619239418486923,0.3290992084129375,0.0000022567452890135777
626,0.7399701364167236,0.3173276793805226,0.0000020983866716169078
627,0.7177737840551096,0.30570399872438797,0.0000019519223664118324
628,0.6954486102960018,0.29425720800140914,0.000001816382747580136
629,0.6730987225978396,0.28301328982041524,0.0000016908826193168574
630,0.6508187813527185,0.27199528016526364,0.0000015746137655610359
631,0.6286877477063666,0.26122125220335873,0.0000014668381506064612
632,0.6067523403590064,0.2506990902099396,0.0000013668817063050878
633,0.5850502268922729,0.24043375241635245,0.0000012741286522986443
634,0.5636168533449766,0.23042949556469158,0.0000011880163080512954
635,0.5424855418686235,0.2206899702844209,0.0000011080303354797432
636,0.5216887377998012,0.21121823066576095,0.000001033700397898647
637,0.5012611268381184,0.20201701744569367,0.0000009645961868545827
638,0.48123506506629216,0.19308857894570217,0.000000900323789451092
639,0.4616394368351233,0.18443460044569177,0.000000840522361372307
640,0.44249969386882226,0.17605623134412066,0.0000007848610989600293
641,0.4238291809004708,0.16795172920093546,0.0000007330364714721911
642,0.40560571144686086,0.16011013936573193,0.0000006847696909902286
643,0.3878039584419982,0.15251953051497127,0.0000006398044271291096
644,0.3704044348284809,0.14516934564011957,0.0000005979047074790677
645,0.3533927222493043,0.138050422144785,0.0000005588530309421178
646,0.336768175845314,0.13115719065230746,0.000000522448657340971
647,0.3205671749519252,0.12449404512285507,0.0000004885060554487778
648,0.3048287615578677,0.11806647822520959,0.00000045685351301781125
649,0.28958472394547347,0.11187844558538045,0.0000004273318874688305
650,0.2748601512880019,0.1059323764804082,0.00000039979347946868623
651,0.2606719467887471,0.1002289983662168,0.00000037410104472514726
652,0.24702473551778092,0.0947668051766439,0.0000003501268983867082
653,0.2339182960799528,0.0895429810524987,0.0000003277521238208449
654,0.22134970141087992,0.08455379677067884,0.0000003068658833896064
655,0.20931365287339138,0.07979472748821306,0.00000028736480186778774
656,0.19780193873849344,0.07526021889924633,0.00000026915242070826236
657,0.18680184428298832,0.0709430559002198,0.00000025213874032679745
658,0.17629915087464926,0.06683557859452235,0.00000023623979199048267
659,0.1662790190628522,0.06293006879158344,0.0000002213772879736748
660,0.1567261986386703,0.059218806757954094,0.00000020747830523777477
661,0.14763415606766886,0.05569749851343253,0.0000001944900046768627
662,0.13892598414855006,0.05233582059388427,0.0000001822458488910459
663,0.1306529860368507,0.049151472482085776,0.00000017079968570476242
664,0.1228002265659715,0.04613746620071487,0.00000016009764415041967
665,0.11535274295696667,0.04328687570351463,0.00000015008965604258425
666,0.1082955658017438,0.04059280315985142,0.00000014072916961388773
667,0.1016138014822606,0.0380482552127844,0.00000013197289552003885
668,0.0952926318928422,0.03564638044836945,0.00000012378055659261532
669,0.08931733450578157,0.033380532876988465,0.00000011611466683400874
670,0.08367335590849938,0.03124427316363462,0.00000010894033090952745
671,0.07834629721854765,0.0292313774960468,0.00000010222505284088704
672,0.07332184260799425,0.027335851868337986,0.00000009593855842993633
673,0.06858598107009316,0.025551907708137606,0.00000009005264504829226
674,0.06412507179725473,0.023873955171539434,0.00000008454101928145668
675,0.05992587144193091,0.02229659980671689,0.00000007937917622617703
676,0.05597564255541244,0.02081468368036888,0.00000007454426107109544
677,0.05226244397156317,0.01942337592402664,0.00000007001495814094807
678,0.048774713988156415,0.018118027912680107,0.00000006577138224531313
679,0.045501172815717854,0.016894139191110814,0.00000006179497519023462
680,0.04243085113642733,0.015747360478989822,0.000000058068421721188
681,0.03955282811999795,0.014673392871471085,0.0000000545755555152984
682,0.036855585591835896,0.013667748548665318,0.00000005130128365740966
683,0.03432806500875393,0.01272613318549908,0.00000004823151226752638
684,0.03195993269447746,0.011844549007024963,0.000000045353079030431615
685,0.029741531225391696,0.011019269885753902,0.0000000426536913763034
686,0.027664470037998077,0.010247061533067606,0.00000004012186168805807
687,0.025723132826048413,0.009525748971531797,0.000000037746857011011936
688,0.02391214275767572,0.008853257815077868,0.000000035518652949975757
689,0.022225745736070158,0.008227382744715307,0.00000003342787396549187
690,0.020657947429855286,0.007645834117301229,0.00000003146576339190148
691,0.019202072395214938,0.007106078357397108,0.000000029624129208401977
692,0.017849541834960656,0.006604873548929253,0.000000027895319057977524
693,0.016592037428750442,0.006139083605855343,0.000000026272176086243993
694,0.015422039116793797,0.005705875281128495,0.00000002474800643145465
695,0.014332725967792932,0.005302683558372844,0.000000023316553255147393
696,0.013318097046412784,0.004927250470531392,0.000000021971963968568766
697,0.01237334711482615,0.004577765659058887,0.00000002070876328431253
698,0.011494107350431677,0.004252584073043525,0.00000001952183138091655
699,0.010676221674044474,0.003950145326615957,0.00000001840637856950574
700,0.00991574621747327,0.0036689720779877217,0.000000017357925387186785
701,0.00920886698080421,0.003407638927089701,0.00000001637227741543388
702,0.008551696570392045,0.003164699226755874,0.00000001544551316974353
703,0.007940575747291248,0.002938793700287616,0.000000014573962845425083
704,0.007372140012256425,0.0027286729498657955,0.000000013754190381442803
705,0.006843293090572131,0.002533188216771339,0.000000012982981747859413
706,0.00635125552840521,0.0023513094331264277,0.000000012257325889497137
707,0.005893714424947872,0.0021821815338961686,0.000000011574410421568215
708,0.005468530559755067,0.0020250146055934377,0.000000010931594532644266
709,0.005073657539681852,0.0018790522986054383,0.000000010326413264665665
710,0.004707143361520392,0.0017435733611641867,0.000000009756555624418171
711,0.004367127440881038,0.0016178897035082301,0.00000000921985454205654
712,0.004051834260607449,0.001501342157029186,0.000000008714286681708805
713,0.003759582850037111,0.001393307371987308,0.000000008237951983672165
714,0.0034887875239555414,0.0012931971013729867,0.00000000778907429037122
715,0.003237954942448116,0.0012004586875156138,0.000000007365989188693872
716,0.003005650818063218,0.0011145612032631453,0.000000006967134051030871
717,0.0027904204177519013,0.0010349670991717176,0.000000006591049204023367
718,0.002590905462239023,0.0009611747426326902,0.000000006236363707679847
719,0.0024058669187507083,0.0008927264104564594,0.000000005901795889564737
720,0.0022341738121249986,0.0008292048540904678,0.0000000055861398131961805
721,0.002074814849318445,0.0007702368091712985,0.00000000528827127391347
722,0.0019269437336498093,0.0007155104289952446,0.000000005007131095286422
723,0.0017897847663354517,0.0006647399642519928,0.000000004741727716044394
724,0.0016626060415401108,0.0006176558020517364,0.000000004491132799495732
725,0.0015447182542971376,0.0005740038915543772,0.0000000042544730652095385
726,0.0014354618032905882,0.0005335409816541802,0.00000000403092910822045
727,0.0013341766598075416,0.0004960232404284888,0.000000003819736796593819
728,0.0012402458440135067,0.0004612226205649439,0.0000000036201739408326926
729,0.0011531031505965124,0.0004289300101351912,0.0000000034315649245455838
730,0.0010722292497388256,0.00039895357256469755,0.000000003253276576264146
731,0.0009971479223785103,0.0003711175159962707,0.0000000030847104726211348
732,0.0009274239598425853,0.0003452614418799144,0.0000000029253107668321493
733,0.0008626572085041955,0.0003212379923811014,0.000000002774547732081713
734,0.0008024793369729919,0.00029891140704756873,0.0000000026319328260858194
735,0.0007465509811224617,0.00027815659111469734,0.0000000024969984323570485
736,0.0006945673671114801,0.000258861235688247,0.000000002369311710980345
737,0.0006462755154497673,0.0002409323266708349,0.000000002248460373192255
738,0.000601441526220634,0.00022428384783025726,0.000000002134060471643619
739,0.0005598418338950968,0.00020883350150096688,0.000000002025751004647005
740,0.0005212634107135665,0.0001945027995901132,0.0000000019231914231851524
741,0.00048549499855617676,0.00018121370772926758,0.0000000018260577115385743
742,0.0004523050725856408,0.0001688801440158116,0.0000000017340528769604957
743,0.0004214759926078096,0.00015742114213491995,0.0000000016468904110556111
744,0.0003928115525562564,0.00014676377765384074,0.0000000015643046738368229
745,0.0003661347216538806,0.00013684228156870076,0.0000000014860431764205003
746,0.0003412908165230294,0.00012759933523336496,0.000000001411869371026447
747,0.0003181585360971469,0.00011899034432715205,0.0000000013415593612937925
748,0.00029662839798034264,0.000110975109593618,0.0000000012749034270443054
749,0.0002765966465115221,0.00010351548783773073,0.000000001211703209217766
750,0.00025796507817468924,0.00009657535366937474,0.0000000011517739890745497
751,0.00024063928223038184,0.00009011988808895812,0.0000000010949358504590258
752,0.00022452454639075172,0.00008411408532006307,0.000000001041023869108077
753,0.00020953180756255683,0.00007852498609353156,0.0000000009898811603443752
754,0.00019557890478957255,0.00007332217660920149,0.0000000009413615410420445
755,0.00018259001290394796,0.00006847758282325511,0.0000000008953222058182004
756,0.00017049490199762038,0.00006396517109964826,0.0000000008516350286571044
757,0.00015922785022443538,0.00005976051369436369,0.0000000008101732871382036
758,0.00014872812962775456,0.00005584103143782766,0.0000000007708180136222155
759,0.00013893984487009555,0.000052185955288608494,0.0000000007334593439827095
760,0.00012981154837870117,0.00004877616306981506,0.0000000006979947166644215
761,0.0001212966592225745,0.00004559437430633814,0.0000000006643218707641382
762,0.00011335525932668139,0.00004262586210641137,0.0000000006323476924769017
763,0.00010595058416627776,0.00003985705044530655,0.0000000006019820731719981
764,0.00009904788072446691,0.00003727511121413268,0.0000000005731436054034745
765,0.00009261440749110869,0.00003486794059202206,0.0000000005457523324475599
766,0.00008661831373813718,0.00003262374008850606,0.0000000005197346519700898
767,0.00008102609518726301,0.000030530042355591196,0.0000000004950153938540437
768,0.00007580629410700151,0.00002857512475391416,0.0000000004715299227027517
769,0.00007093031890533336,0.00002674834284681355,0.0000000004492126609957426
770,0.00006637216219356567,0.000025040010776869296,0.00000000042800684594573344
771,0.00006210914896000682,0.000023441700058117163,0.0000000004078534349880878
772,0.00005812418447148797,0.00002194710579129491,0.0000000003886965692372469
773,0.000054401757947538286,0.00002055051260342061,0.00000000037048732435715504
774,0.00005092684495547754,0.000019246374433334336,0.00000000035317880058023064
775,0.000047684950815835265,0.000018029327389181733,0.00000000033672095179455086
776,0.00004466143062182724,0.00001689393833246392,0.00000000032107281645813076
777,0.00004183971444838055,0.000015834003145326794,0.0000000003061909576570174
778,0.00003920403406836881,0.000014843612795633696,0.0000000002920393708970061
779,0.00003674006676250626,0.000013917404477266675,0.00000000027857851653367385
780,0.00003443478873165796,0.00001305050238729378,0.0000000002657738625902591
